review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4.73,4.74,4.69,4.9,4.88,4.84,4.63
4.66,4.57,4.71,4.84,4.72,4.94,4.63
4.61,4.76,4.41,4.82,4.82,4.71,4.12
4.55,4.76,4.32,4.82,4.86,4.84,4.55
4.67,5.0,4.17,5.0,5.0,4.67,4.67
4.74,4.89,4.7,4.93,4.96,5.0,4.63
4.73,4.8,4.53,5.0,4.87,5.0,4.53
4.82,4.94,4.88,4.94,4.88,4.65,4.76
4.85,4.85,4.69,5.0,5.0,4.85,4.62
4.88,5.0,5.0,5.0,5.0,5.0,4.88
4.91,4.89,4.81,5.0,4.97,4.86,4.81
4.65,4.71,4.4,4.88,4.89,4.92,4.54
4.84,4.81,4.78,4.92,4.93,4.96,4.66
4.64,4.77,4.55,4.86,4.9,4.94,4.57
4.75,4.75,5.0,5.0,5.0,5.0,4.0
4.86,4.9,4.76,5.0,4.95,5.0,4.9
4.66,4.67,4.64,4.84,4.9,4.89,4.59
4.57,4.69,4.42,4.9,4.75,4.94,4.47
4.4,4.6,4.8,5.0,5.0,4.8,5.0
4.75,4.85,4.89,4.93,4.89,4.82,4.68
4.22,4.38,4.2,4.73,4.76,4.44,4.15
4.97,4.97,4.94,4.97,5.0,4.77,4.77
4.79,4.92,4.92,4.91,4.97,4.81,4.69
4.54,4.61,4.54,4.85,4.78,4.81,4.54
4.95,4.93,4.96,4.99,4.99,4.87,4.83
4.86,4.75,5.0,4.88,5.0,5.0,4.86
4.95,4.95,4.89,4.95,4.98,4.99,4.84
4.86,4.8,4.88,4.92,4.96,4.93,4.7
4.67,4.6,4.6,4.87,4.87,4.93,4.4
4.85,4.78,4.76,4.89,4.87,4.87,4.8
4.79,4.81,4.88,4.87,4.9,4.91,4.69
3.67,2.5,2.0,3.0,4.5,3.0,2.5
4.82,4.87,4.87,4.91,4.95,4.87,4.78
4.89,4.74,4.52,4.96,5.0,4.81,4.7
4.28,4.46,4.09,4.69,4.66,4.79,4.4
4.94,4.95,4.85,4.82,4.93,4.99,4.79
4.81,4.71,4.77,4.95,4.93,4.95,4.6
4.88,4.89,4.91,4.95,4.9,4.81,4.78
4.75,4.79,4.65,4.93,4.95,4.84,4.61
4.57,4.59,4.48,4.82,4.87,4.9,4.48
4.59,4.61,4.52,4.89,4.86,4.9,4.67
4.55,4.63,4.53,4.84,4.79,4.81,4.46
4.29,4.71,4.21,4.57,4.79,5.0,4.64
4.97,4.96,4.98,4.97,4.97,4.86,4.92
4.88,4.88,4.93,4.93,4.92,4.7,4.87
4.0,5.0,5.0,4.0,4.0,2.0,3.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.93,5.0,4.97,5.0,5.0,4.97,4.9
4.8,4.83,4.67,4.83,5.0,4.83,4.67
4.79,4.75,4.81,4.94,4.97,4.96,4.72
5.0,4.0,5.0,5.0,5.0,4.0,5.0
4.67,5.0,4.67,5.0,4.33,4.67,4.67
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.8,4.73,4.68,4.94,4.94,4.86,4.68
4.96,5.0,4.92,4.8,4.76,4.52,4.68
4.82,4.82,4.92,4.82,4.95,4.84,4.78
4.95,4.93,4.88,4.98,4.96,4.98,4.87
4.88,4.82,4.76,4.76,5.0,4.88,4.76
4.69,4.67,4.72,4.89,4.78,4.83,4.39
4.75,5.0,4.5,5.0,4.75,5.0,4.75
4.65,4.76,4.76,4.88,4.89,4.26,4.65
4.53,4.32,4.39,4.71,4.57,4.81,4.37
4.92,4.95,4.96,4.96,4.98,4.95,4.84
5.0,4.8,5.0,5.0,5.0,4.4,5.0
4.22,4.2,3.6,4.7,4.7,4.6,4.1
4.3,4.35,4.47,4.65,4.6,4.49,4.39
4.26,4.15,4.24,4.78,4.69,4.93,4.35
4.83,4.76,4.84,4.96,4.93,4.49,4.72
5.0,5.0,4.94,5.0,4.94,4.89,4.94
4.68,4.89,4.72,4.81,4.81,4.92,4.64
4.4,4.61,4.26,4.74,4.6,4.82,4.46
4.79,4.83,4.9,5.0,4.93,4.93,4.55
5.0,5.0,4.67,5.0,5.0,4.67,5.0
4.7,4.76,4.7,4.91,4.8,4.96,4.57
5.0,5.0,5.0,5.0,5.0,5.0,4.33
4.67,4.33,5.0,5.0,5.0,5.0,4.67
4.58,4.55,4.45,4.55,4.86,4.79,4.38
4.84,4.91,4.66,4.89,4.86,5.0,4.86
4.74,4.66,4.73,4.91,4.87,4.84,4.72
4.81,4.9,4.84,4.87,4.64,4.97,4.65
4.91,4.94,4.94,4.97,4.97,4.97,4.75
4.82,4.84,4.76,4.9,4.94,4.94,4.74
4.65,4.6,4.73,4.79,4.73,4.84,4.51
4.8,4.8,4.8,5.0,5.0,5.0,5.0
4.63,4.78,4.68,4.85,4.93,4.98,4.46
4.67,4.77,4.74,4.5,4.66,4.45,4.73
4.8,4.87,4.79,4.93,4.94,4.73,4.67
5.0,5.0,4.0,5.0,5.0,5.0,4.0
4.36,4.73,4.27,5.0,5.0,5.0,4.73
4.36,4.5,4.38,4.71,4.82,4.74,4.53
4.31,4.21,4.32,4.63,4.53,4.93,4.39
4.0,4.0,4.3,4.7,4.1,4.2,4.5
4.82,5.0,5.0,5.0,4.82,4.45,4.45
3.86,4.14,3.86,4.71,5.0,4.43,3.43
4.93,4.92,4.95,4.96,4.99,4.97,4.76
4.29,4.5,4.17,4.5,4.0,4.67,3.83
4.69,4.69,4.52,4.88,4.86,4.89,4.59
4.94,4.97,4.91,4.97,4.97,4.85,4.82
4.78,4.74,4.5,4.91,4.87,4.57,4.82
4.63,4.79,4.63,4.89,4.68,4.74,4.42
4.78,4.81,4.81,4.97,4.89,4.94,4.69
4.78,4.67,4.89,5.0,4.78,5.0,4.33
4.75,4.66,4.69,4.91,4.88,4.91,4.57
4.67,4.67,4.67,5.0,5.0,5.0,4.67
4.81,4.82,4.75,4.95,4.94,4.53,4.77
4.93,4.96,4.89,5.0,5.0,4.86,4.89
4.85,4.95,4.85,4.98,4.95,4.98,4.71
4.72,4.72,4.74,4.87,4.78,4.91,4.56
4.72,4.73,4.62,4.92,4.94,4.97,4.63
4.85,4.87,4.82,4.97,4.91,4.84,4.82
4.71,4.7,4.69,4.59,4.69,4.44,4.7
4.68,4.5,4.47,4.82,4.79,4.91,4.62
4.71,5.0,5.0,4.83,5.0,4.67,4.83
4.91,4.8,4.89,4.86,4.88,4.57,4.8
4.87,4.89,4.9,4.95,4.87,4.93,4.78
4.91,4.82,4.82,5.0,4.95,4.82,4.86
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.96,4.93,4.97,4.96,4.92,4.99,4.87
4.8,4.85,4.86,4.92,4.88,4.99,4.63
4.51,4.53,4.25,4.82,4.84,4.9,4.6
4.9,4.96,4.98,4.96,4.98,4.89,4.82
4.74,4.7,4.5,4.65,4.6,4.85,4.75
4.97,4.97,5.0,5.0,5.0,5.0,4.83
4.89,4.89,5.0,4.89,4.5,5.0,4.67
4.94,4.95,4.89,4.98,4.97,4.97,4.88
4.95,5.0,4.95,4.95,5.0,5.0,5.0
5.0,5.0,4.5,5.0,5.0,5.0,5.0
4.67,4.7,5.0,4.9,5.0,5.0,4.8
4.73,4.73,4.84,4.91,4.88,4.96,4.55
4.6,4.8,5.0,5.0,5.0,5.0,4.4
4.88,4.86,4.96,4.96,4.92,4.94,4.8
4.82,4.81,4.87,4.87,4.85,4.88,4.67
4.6,4.33,4.5,5.0,4.5,4.5,4.33
4.75,4.88,5.0,4.88,5.0,5.0,4.75
5.0,4.79,4.86,4.93,4.86,4.93,4.71
4.79,4.85,4.75,4.92,4.94,4.92,4.67
4.0,5.0,5.0,5.0,5.0,4.0,4.0
4.78,4.74,4.61,4.91,4.89,4.33,4.61
4.64,4.74,4.37,4.88,4.77,4.8,4.65
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.48,4.57,4.41,4.81,4.81,4.85,4.5
4.44,4.61,4.47,4.64,4.56,4.78,4.37
4.65,4.9,4.63,4.83,4.85,4.9,4.7
5.0,4.0,5.0,4.0,5.0,3.0,4.0
4.72,4.78,4.72,4.83,4.72,4.78,4.56
4.97,4.96,4.97,5.0,4.99,4.96,4.89
4.78,4.88,4.75,4.75,4.63,5.0,4.13
4.71,4.76,4.59,4.88,4.94,4.53,4.41
5.0,4.91,4.73,5.0,4.82,4.82,4.73
5.0,5.0,5.0,4.5,4.5,4.5,4.5
4.93,4.87,4.74,4.98,4.99,4.99,4.74
3.71,3.75,3.0,4.38,3.75,4.63,3.63
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.8,4.6,4.8,4.8,5.0,4.6,4.6
4.77,4.86,4.59,4.92,4.84,4.77,4.75
4.92,5.0,5.0,4.83,4.83,4.83,4.92
4.87,4.88,4.72,4.97,4.98,4.94,4.81
4.9,4.93,4.89,4.97,4.96,5.0,4.76
4.86,4.89,4.67,4.96,4.89,5.0,4.63
4.43,4.45,4.22,4.79,4.79,4.68,4.58
4.75,4.83,4.77,4.92,4.85,5.0,4.48
4.8,4.91,4.81,4.96,5.0,4.98,4.5
4.9,4.86,4.93,4.93,4.91,4.95,4.66
5.0,4.8,4.6,4.8,5.0,5.0,5.0
4.8,4.84,4.68,4.9,4.9,4.52,4.71
4.86,4.84,4.91,4.9,4.83,4.9,4.83
4.75,4.88,5.0,4.75,4.88,5.0,4.5
4.97,4.94,4.83,4.97,4.97,4.8,4.71
4.9,4.88,4.87,4.97,4.89,4.99,4.79
4.73,4.8,4.79,4.91,4.89,4.81,4.52
5.0,5.0,5.0,4.8,4.8,5.0,5.0
5.0,4.86,4.71,5.0,5.0,5.0,5.0
4.79,4.78,4.72,4.94,4.85,4.87,4.64
4.93,4.93,4.93,5.0,5.0,4.97,4.8
5.0,5.0,5.0,5.0,5.0,5.0,4.75
4.22,4.56,4.33,4.56,4.67,4.22,4.0
4.88,4.93,4.93,4.95,4.96,4.71,4.82
4.92,4.88,4.84,4.98,4.96,4.98,4.69
4.92,4.96,4.9,4.97,4.97,4.99,4.84
4.68,4.56,4.38,4.8,4.76,4.91,4.47
4.51,4.71,4.62,4.67,4.66,4.82,4.36
4.97,4.97,4.88,4.97,4.93,4.97,4.8
4.86,4.82,4.77,4.95,4.95,4.95,4.55
4.86,4.88,4.78,4.9,4.92,4.95,4.79
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.21,4.48,4.42,4.67,4.79,4.54,4.17
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.63,4.5,4.63,4.25,4.63,5.0,4.63
5.0,4.25,5.0,5.0,5.0,4.75,4.0
4.71,4.86,4.86,5.0,4.86,5.0,4.57
4.69,4.69,4.86,4.92,4.94,4.33,4.61
4.78,4.85,4.83,4.93,4.94,4.85,4.64
4.18,4.09,4.45,4.45,4.64,5.0,4.45
4.89,4.97,4.86,4.86,4.89,4.89,4.57
5.0,4.93,4.86,5.0,5.0,5.0,4.93
4.85,4.93,4.88,4.93,4.95,4.83,4.78
4.5,4.8,4.5,4.7,4.5,4.2,4.4
4.71,5.0,4.14,5.0,5.0,5.0,4.86
4.65,4.71,4.41,4.87,4.85,4.95,4.53
4.46,4.56,4.57,4.64,4.76,4.62,4.67
4.79,4.79,4.83,4.84,4.88,4.76,4.8
4.73,4.75,4.75,4.56,4.56,4.88,4.31
4.59,4.7,4.65,4.72,4.68,4.91,4.55
4.92,4.92,5.0,4.75,4.75,5.0,4.58
4.83,4.83,4.9,4.89,4.89,4.81,4.75
4.33,4.58,4.0,4.76,4.48,4.91,4.61
4.63,4.86,4.29,4.29,4.57,4.86,4.43
4.67,4.33,4.33,4.67,4.67,4.67,3.67
3.67,4.0,3.67,5.0,5.0,4.33,4.33
4.5,4.33,3.83,5.0,5.0,5.0,3.83
4.59,4.77,4.38,4.88,4.91,4.76,4.6
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.88,4.92,4.88,5.0,5.0,4.92,4.68
4.8,4.8,4.65,4.85,4.78,4.64,4.71
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.87,4.91,4.85,4.97,4.99,4.88,4.82
4.97,4.99,4.95,4.97,4.96,4.94,4.81
5.0,5.0,4.5,4.5,4.5,4.5,4.5
4.76,4.93,4.7,4.98,4.85,4.72,4.61
4.73,4.7,4.66,4.96,4.9,4.95,4.67
4.98,4.96,4.98,5.0,4.96,4.92,4.64
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.92,4.92,4.83,5.0,5.0,4.92,4.67
5.0,5.0,5.0,5.0,5.0,5.0,4.0
5.0,4.8,4.6,4.8,5.0,5.0,4.6
4.57,4.5,4.57,4.93,4.79,4.82,4.64
4.6,4.4,4.4,4.4,5.0,5.0,4.4
4.76,4.8,4.76,4.82,4.87,4.73,4.61
4.72,4.83,4.71,4.93,4.92,4.9,4.65
4.78,4.8,5.0,4.9,5.0,5.0,4.9
4.83,4.88,4.66,4.92,4.92,4.98,4.78
4.87,4.88,4.88,4.84,4.84,4.96,4.72
4.0,5.0,2.0,5.0,5.0,5.0,5.0
4.8,4.83,4.76,4.89,4.88,4.94,4.63
4.87,4.93,5.0,5.0,4.87,4.93,4.87
4.75,4.85,4.84,4.98,4.92,4.89,4.61
4.78,4.85,4.51,4.95,4.97,4.82,4.78
4.93,4.82,4.71,4.86,4.93,4.82,4.79
4.48,4.58,4.52,4.58,4.73,4.85,4.46
4.66,4.74,4.76,4.81,4.86,4.7,4.64
4.75,4.76,4.67,4.82,4.87,4.96,4.57
5.0,5.0,4.86,5.0,5.0,4.86,5.0
4.8,4.75,4.85,4.95,4.93,4.8,4.68
4.37,4.59,4.21,4.75,4.61,4.72,4.63
5.0,5.0,4.0,5.0,5.0,4.0,5.0
4.89,4.93,4.93,4.93,4.94,4.86,4.83
4.95,4.9,4.8,5.0,5.0,5.0,4.7
4.75,4.86,4.76,4.88,4.9,4.86,4.68
5.0,4.0,5.0,5.0,5.0,5.0,5.0
4.91,4.93,4.86,4.98,4.97,4.98,4.9
4.88,4.92,4.84,4.97,4.97,4.98,4.83
4.86,4.91,4.89,4.94,4.93,4.92,4.83
4.85,4.91,4.89,4.95,4.93,4.88,4.75
4.83,5.0,4.4,4.6,5.0,5.0,4.8
4.82,4.82,4.45,4.92,4.89,4.45,4.68
4.57,4.83,4.7,4.87,4.91,4.78,4.57
4.78,4.89,4.37,4.93,4.85,4.77,4.78
4.83,4.87,4.87,4.93,4.96,4.51,4.83
4.93,4.92,4.94,4.98,4.89,4.95,4.89
4.27,4.55,4.09,4.27,4.64,4.0,4.27
4.86,4.82,4.76,4.95,4.98,4.74,4.85
4.9,5.0,4.9,5.0,4.9,5.0,4.7
4.0,4.0,2.0,3.0,5.0,5.0,3.0
4.86,4.86,5.0,5.0,5.0,4.86,4.71
5.0,5.0,4.67,5.0,4.67,5.0,4.67
4.86,4.85,4.74,4.91,4.91,4.79,4.82
4.76,4.84,4.76,4.79,4.86,4.92,4.78
4.69,4.74,4.54,4.85,4.89,4.89,4.58
4.53,4.73,4.42,4.87,4.65,4.98,4.38
4.81,4.87,4.62,4.98,4.95,4.95,4.68
4.2,4.0,4.0,5.0,4.8,4.8,4.0
5.0,4.5,5.0,5.0,5.0,5.0,5.0
4.67,4.38,4.25,5.0,4.88,4.88,4.43
4.92,4.94,4.91,4.98,4.96,4.98,4.7
4.16,3.92,4.0,4.72,4.84,4.88,4.2
4.5,4.83,3.67,4.17,4.5,5.0,4.83
4.82,4.73,4.91,5.0,5.0,4.91,4.82
4.84,4.66,4.74,4.95,4.91,4.98,4.71
4.83,4.72,4.94,4.67,4.72,4.89,4.39
4.92,4.91,4.79,4.92,4.95,4.84,4.84
4.84,4.77,4.9,4.92,4.92,4.79,4.74
4.85,4.9,4.8,4.93,4.98,4.98,4.85
4.57,4.71,4.36,4.93,4.93,4.36,4.64
4.7,4.9,4.5,4.9,5.0,4.8,5.0
4.73,4.86,4.78,4.91,4.89,4.93,4.71
4.84,4.85,4.89,4.87,4.87,4.89,4.77
4.91,4.91,4.87,4.91,4.91,4.95,4.82
4.96,5.0,5.0,4.96,4.92,4.79,4.92
4.6,4.69,4.6,4.87,4.91,4.95,4.52
5.0,4.82,4.91,5.0,5.0,5.0,4.82
4.72,4.78,4.78,4.94,4.97,4.84,4.69
5.0,5.0,5.0,5.0,5.0,4.89,4.67
4.73,4.91,4.64,5.0,5.0,4.91,4.45
4.91,4.82,4.73,4.91,4.91,4.64,4.91
5.0,5.0,4.75,5.0,5.0,4.75,5.0
4.92,4.94,4.92,4.96,4.98,4.75,4.89
4.77,4.74,4.89,4.93,4.81,4.93,4.52
4.96,4.83,4.96,5.0,4.96,4.92,4.75
4.92,5.0,4.85,5.0,5.0,4.62,4.69
4.87,4.85,4.91,5.0,5.0,4.89,4.76
4.76,4.87,4.72,4.94,4.93,4.88,4.61
4.65,4.83,4.57,4.91,5.0,5.0,4.65
4.66,4.79,4.78,4.85,4.87,4.88,4.6
4.84,4.87,4.82,4.95,4.98,5.0,4.71
4.8,4.92,4.88,4.89,4.98,4.92,4.64
4.63,4.76,4.56,4.89,4.83,4.92,4.63
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.83,4.83,4.67,5.0,5.0,4.5,4.33
4.73,4.8,4.8,4.93,4.93,5.0,4.73
4.4,4.4,4.8,4.6,4.6,4.4,4.4
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.87,5.0,4.87,4.93,5.0,4.87,4.87
4.46,4.46,4.18,4.83,4.81,4.87,4.52
4.72,4.84,4.7,4.9,4.94,4.84,4.66
4.26,4.62,4.38,4.32,4.41,4.74,4.21
4.77,4.74,4.69,4.96,4.96,4.77,4.64
4.84,4.94,4.78,4.94,4.91,4.78,4.78
4.83,4.89,4.81,4.91,4.94,4.97,4.8
4.5,4.83,4.83,5.0,4.83,4.33,4.0
4.71,4.76,4.67,4.89,4.98,4.89,4.77
4.89,4.9,4.95,4.94,4.96,4.97,4.68
4.8,4.92,4.72,4.92,4.76,5.0,4.88
4.89,4.9,4.83,4.93,4.97,4.97,4.73
4.39,4.56,4.11,4.56,4.67,4.94,4.22
4.82,4.91,4.73,4.91,4.91,4.55,4.64
5.0,5.0,5.0,4.89,5.0,4.89,4.89
4.5,4.72,4.25,4.97,4.88,4.91,4.84
4.91,4.88,4.93,4.96,4.93,4.97,4.88
4.8,4.95,4.88,4.88,4.98,4.88,4.38
4.72,4.71,4.76,4.9,4.89,4.86,4.75
4.62,4.58,4.55,4.9,4.88,4.73,4.43
4.8,4.8,4.6,4.7,5.0,5.0,4.4
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.98,4.98,4.94,4.99,4.94,5.0,4.93
4.67,5.0,5.0,4.67,5.0,4.67,4.67
4.63,4.5,4.38,4.88,4.88,4.75,4.63
4.82,4.82,4.82,4.82,4.91,5.0,4.73
4.67,4.79,4.75,4.92,4.92,4.42,4.79
4.27,4.6,4.47,4.21,4.07,4.57,4.64
4.64,4.55,4.36,4.82,4.82,5.0,4.36
4.78,4.81,4.93,4.87,4.9,4.79,4.6
4.5,4.72,4.55,4.75,4.7,4.88,4.44
